platform,category,action,represented_sors,action_numerator,action_prevalence,category_share,sparse_flag
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,PROVISION_PARTIAL_SUSPENSION,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,PROVISION_PARTIAL_TERMINATION,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,PROVISION_TOTAL_SUSPENSION,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,PROVISION_TOTAL_TERMINATION,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,MONETARY_TERMINATION,31018501,0,0.0,0.33440861,False
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,CONTENT_REMOVED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,VISIBILITY_OTHER,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,CONTENT_DISABLED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,CONTENT_AGE_RESTRICTED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,CONTENT_DEMOTED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,CONTENT_INTERACTION_RESTRICTED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,CONTENT_LABELLED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,ACCOUNT_TERMINATED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,ACCOUNT_SUSPENDED,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,PROVISION_PARTIAL_SUSPENSION,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,PROVISION_PARTIAL_TERMINATION,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,PROVISION_TOTAL_SUSPENSION,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,PROVISION_TOTAL_TERMINATION,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,MONETARY_TERMINATION,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,MONETARY_SUSPENSION,0,0,,0.0,True
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,ACCOUNT_TERMINATED,1359964,967273,0.71124897,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,CONTENT_REMOVED,1359964,378159,0.27806545,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,CONTENT_DEMOTED,1359964,14532,0.01068558,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,VISIBILITY_OTHER,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,CONTENT_DISABLED,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,CONTENT_AGE_RESTRICTED,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,CONTENT_INTERACTION_RESTRICTED,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,CONTENT_LABELLED,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,ACCOUNT_SUSPENDED,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,PROVISION_PARTIAL_SUSPENSION,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,PROVISION_PARTIAL_TERMINATION,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,PROVISION_TOTAL_SUSPENSION,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,PROVISION_TOTAL_TERMINATION,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,MONETARY_TERMINATION,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,MONETARY_SUSPENSION,1359964,0,0.0,0.01466169,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,CONTENT_REMOVED,177629,168084,0.94626441,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,ACCOUNT_TERMINATED,177629,9542,0.05371871,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,ACCOUNT_SUSPENDED,177629,3,1.689e-05,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,VISIBILITY_OTHER,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,CONTENT_DISABLED,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,CONTENT_AGE_RESTRICTED,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,CONTENT_DEMOTED,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,CONTENT_INTERACTION_RESTRICTED,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,CONTENT_LABELLED,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,PROVISION_PARTIAL_SUSPENSION,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,PROVISION_PARTIAL_TERMINATION,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,PROVISION_TOTAL_SUSPENSION,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,PROVISION_TOTAL_TERMINATION,177629,0,0.0,0.00191501,False
Instagram,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,MONETARY_TERMINATION,177629,0,0.0,0.00191501,False
